Timestamp,Average_latency,Number_of_pods
1572916937.0835352,11312.5,1
1572916999.6430497,6031.25,2
1572917062.1049871,12804.6875,4
1572917125.5766823,14078.125,4
1572917187.910702,11109.375,6
1572917252.2180226,9703.125,6
1572917314.6293764,7697.916666666667,6
1572917376.5648057,6593.75,6
1572917438.5273125,7296.875,6
1572917500.4144871,5760.416666666667,6
1572917562.131224,2703.125,6
1572917623.8155055,0.0,6
1572917685.4411805,0.0,1
1572917746.0955112,29000.0,1
1572917809.2954555,9875.0,3
1572917872.6658523,15743.75,5
1572917936.691993,14500.0,6
1572918000.3055258,9536.458333333334,6
1572918063.1855075,11109.375,6
1572918125.7421815,12828.125,6
1572918188.3319004,10479.166666666666,6
1572918251.027227,12145.833333333334,6
1572918313.6728258,12567.708333333334,6
1572918376.2775788,0.0,6
1572918437.7739334,0.0,1
1572918498.8607862,0.0,1
1572918559.837046,0.0,1
1572918620.6505816,0.0,1
1572918681.4013011,0.0,1
